"","nemenyi","holm","shaf"
"miGraph",0.980388145396227,1,0.980388145396227
"MIBoost",0.9357186431127,1,1
"MIOptimalBall",0.99414901340834,1,1
"MIDD",0.760281110123622,1,1
"MIWrapper",0.9357186431127,1,1
"MISMO",0.965235072527669,1,1
"MISVM",0.727689807542132,1,1
"SimpleMI",1,1,1
"TLC",0.760281110123622,1,1
"Bagging",0.999030137093083,1,1
"Stacking",0.960352551340635,1,1
