"","nemenyi","holm","shaf"
"miGraph",0.999999998365563,1,0.999999998365563
"MIBoost",0.999995456630674,1,1
"MIOptimalBall",0.999914467667436,1,1
"MIDD",0.999878839831648,1,1
"MIWrapper",0.999995456630674,1,1
"MISMO",0.999999097902126,1,1
"MISVM",0.999999741427985,1,1
"SimpleMI",0.999995456630674,1,1
"TLC",0.999999507411533,1,1
"Bagging",1,1,1
"Stacking",0.999999999999271,1,1
